ODB-ID;Gemeinde;Ort;PLZ;Strasse / Nr.;Ensemble;Objekt;publiziertes PDF;GVZ Nr.;Baujahr;Einstufung;Datum Erlass;Erlass;Eigentumsbeschränkung;Grundbucheintrag;E-Koordinate;N-Koordinate
Objekt 14287;Adlikon;Niederwil;8452;Oberwilerstrasse 4;;Bauernhaus;;02100096;1820;-;;;PD;10.03.1978;2696187;1270513
Objekt 2064;Adlikon;Niederwil;8452;"Andelfingerstrasse 11; Andelfingerstrasse 9";;Bauernhaus, ehem.;;02100092;1790;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton;PD;24.01.1977;2696185;1270634
Objekt 13331;Adlikon;Adlikon;8452;Steimerlenstrasse 4;;Bauernhaus, ehem.;;02100046;1800;-;;;PD;16.11.1981;2694347;1271062
Objekt 1182;Adlikon;Dätwil;8452;;"Ossingen/Adlikon: Bahnhofanlage Ossingen mit Eisenbahnviadukt; Ossingen/Adlikon: Eisenbahnbrücke über die Thur";Eisenbahnbrücke über die Thur, südliche Hälfte;;;1;kantonal;19.12.1979;RRB 5113/1979 Liste Kanton;-;;2696622;1273110
Objekt 14994;Adlikon;Dätwil;8452;Hauptstrasse 18;Adlikon: Mühle/Bauernhaus, ehem.;Hausteil 2;;02100149;1820;-;;;PD;23.11.1977;2695597;1272466
Objekt 5154;Adliswil;Adliswil;8134;Webereistrasse 49;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Fabrikareal";Ehem. Pferdestall und Scheune;;13100470;1873~1874;regional;19.12.1979;RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton;ÖREB;06.07.2016;2682186;1240074
Objekt 15914;Adliswil;Adliswil;8134;Kilchbergstrasse 2 bei;Adliswil: Ehem. Wirtshaus «Zum Bierhaus» mit Nebengebäude;Ehem. Werkstattgebäude, sog. «Uhrenmacherhüsli»;;13100501;1887;-;;;PD;06.10.1999;2682333;1240701
Objekt 14539;Adliswil;Adliswil;8134;Kilchbergstrasse 2;Adliswil: Ehem. Wirtshaus «Zum Bierhaus» mit Nebengebäude;Ehem. Wirtshaus;;13100500;1733;-;;;PD;06.10.1999;2682323;1240697
Objekt 5155;Adliswil;Adliswil;8134;"Sihlweg 1; Sihlweg 3; Sihlweg 5; Sihlweg 7; Webereistrasse 56; Webereistrasse 58; Webereistrasse 60; Webereistrasse 62; Webereistrasse 64; Webereistrasse 66; Webereistrasse 68";"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Fabrikareal";Flachbau mit Shedhallen;;13100468;1875~1887;regional;19.12.1979;RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton;ÖREB;06.07.2016;2682143;1239933
Objekt 1293;Adliswil;Adliswil;8134;;Adliswil: Sperrstelle 5104;Geschützstand A04800;;;1;kantonal;;;-;;2681486;1239298
Objekt 1294;Adliswil;Adliswil;8134;;Adliswil: Sperrstelle 5104;Geschützstand A04801;;;1;regional;;;-;;2681581;1239274
Objekt 5156;Adliswil;Adliswil;8134;"Fabrikhof MSA; Webereistrasse 55; Webereistrasse 57; Webereistrasse 59; Webereistrasse 61; Webereistrasse 63; Webereistrasse 65; Webereistrasse 67; Webereistrasse 69; Webereistrasse 71";"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Fabrikareal";Hauptgebäude von 1862;;13100458;1862~1897;regional;19.12.1979;RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton;ÖREB;06.07.2016;2682176;1239944
Objekt 13468;Adliswil;Adliswil;8134;Kronenstrasse 1;;Hausteil 1;;13100504;1731;-;;;PD;20.01.1999;2682312;1240680
Objekt 5027;Adliswil;Adliswil;8134;Rellstenstrasse 2;;Kirche, kath. Dreifaltigkeitskirche;;13100393;1904;kantonal;19.12.1979;RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton;PD;15.08.2012;2681937;1240805
Objekt 5434;Adliswil;Adliswil;8134;Kirchstrasse;;Kirche, ref.;;13100540;1898;kantonal;19.12.1979;RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton;-;;2682337;1240326
Objekt 10631;Adliswil;Adliswil;8134;Buttenaustrasse 1;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Buttenaustrasse 1;;13100102;1909~1912;regional;;;-;;2682121;1239756
Objekt 10666;Adliswil;Adliswil;8134;Buttenaustrasse 10;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Buttenaustrasse 10;;13101056;1909~1912;regional;;;-;;2682086;1239715
Objekt 10636;Adliswil;Adliswil;8134;Buttenaustrasse 12;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Buttenaustrasse 12;;13100110;1909~1912;regional;;;-;;2682089;1239698
Objekt 10637;Adliswil;Adliswil;8134;Buttenaustrasse 2;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Buttenaustrasse 2;;13100130;1909~1912;regional;;;-;;2682100;1239776
Objekt 10663;Adliswil;Adliswil;8134;Buttenaustrasse 4;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Buttenaustrasse 4;;13101053;1909~1912;regional;;;-;;2682093;1239758
Objekt 10664;Adliswil;Adliswil;8134;Buttenaustrasse 6;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Buttenaustrasse 6;;13101054;1909~1912;regional;;;-;;2682093;1239747
Objekt 10635;Adliswil;Adliswil;8134;Buttenaustrasse 7;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Buttenaustrasse 7;;13100108;1909~1912;regional;;;-;;2682119;1239669
Objekt 10665;Adliswil;Adliswil;8134;Buttenaustrasse 8;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Buttenaustrasse 8;;13101055;1909~1912;regional;;;-;;2682086;1239727
Objekt 10633;Adliswil;Adliswil;8134;Buttenaustrasse 9;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Buttenaustrasse 9;;13100105;1909~1912;regional;;;-;;2682145;1239636
Objekt 10630;Adliswil;Adliswil;8134;Sihlaustrasse 1;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 1;;13100101;1909~1912;regional;;;-;;2682116;1239731
Objekt 10662;Adliswil;Adliswil;8134;Sihlaustrasse 10;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 10;;13101052;1909~1912;regional;;;-;;2682166;1239646
Objekt 10657;Adliswil;Adliswil;8134;Sihlaustrasse 11;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 11;;13101047;1909~1912;regional;;;-;;2682184;1239662
Objekt 10658;Adliswil;Adliswil;8134;Sihlaustrasse 13;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 13;;13101048;1909~1912;regional;;;-;;2682190;1239656
Objekt 10632;Adliswil;Adliswil;8134;Sihlaustrasse 14;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 14;;13100103;1909~1912;regional;;;-;;2682222;1239632
Objekt 10628;Adliswil;Adliswil;8134;Sihlaustrasse 15;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 15;;13100094;1909~1912;regional;;;-;;2682205;1239646
Objekt 10651;Adliswil;Adliswil;8134;Sihlaustrasse 16;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 16;;13101041;1909~1912;regional;;;-;;2682234;1239645
Objekt 10650;Adliswil;Adliswil;8134;Sihlaustrasse 17;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 17;;13101040;1909~1912;regional;;;-;;2682219;1239660
Objekt 10652;Adliswil;Adliswil;8134;Sihlaustrasse 18;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 18;;13101042;1909~1912;regional;;;-;;2682242;1239638
Objekt 10659;Adliswil;Adliswil;8134;Sihlaustrasse 2;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 2;;13101049;1909~1912;regional;;;-;;2682115;1239699
Objekt 10648;Adliswil;Adliswil;8134;Sihlaustrasse 21;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 21;;13101038;1909~1912;regional;;;-;;2682189;1239686
Objekt 10647;Adliswil;Adliswil;8134;Sihlaustrasse 23;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 23;;13101037;1909~1912;regional;;;-;;2682183;1239692
Objekt 10646;Adliswil;Adliswil;8134;Sihlaustrasse 25;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 25;;13101036;1909~1912;regional;;;-;;2682167;1239684
Objekt 10644;Adliswil;Adliswil;8134;Sihlaustrasse 29;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 29;;13101034;1909~1912;regional;;;-;;2682156;1239694
Objekt 10653;Adliswil;Adliswil;8134;Sihlaustrasse 3;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 3;;13101043;1909~1912;regional;;;-;;2682132;1239721
Objekt 10643;Adliswil;Adliswil;8134;Sihlaustrasse 31;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 31;;13101033;1909~1912;regional;;;-;;2682164;1239711
Objekt 10642;Adliswil;Adliswil;8134;Sihlaustrasse 33;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 33;;13101032;1909~1912;regional;;;-;;2682158;1239717
Objekt 10629;Adliswil;Adliswil;8134;Sihlaustrasse 35;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 35;;13100100;1909~1912;regional;;;-;;2682139;1239738
Objekt 10660;Adliswil;Adliswil;8134;Sihlaustrasse 4;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 4;;13101050;1909~1912;regional;;;-;;2682122;1239691
Objekt 10654;Adliswil;Adliswil;8134;Sihlaustrasse 5;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 5;;13101044;1909~1912;regional;;;-;;2682136;1239716
Objekt 10634;Adliswil;Adliswil;8134;Sihlaustrasse 6;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 6;;13100107;1909~1912;regional;;;-;;2682141;1239670
Objekt 10655;Adliswil;Adliswil;8134;Sihlaustrasse 7;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 7;;13101045;1909~1912;regional;;;-;;2682143;1239710
